Headline,Date
More controversy over Allied dividend,2004-09-24
Raising corn,2005-05-03
"Revlon loss narrows, sales dip",2005-05-06
Stocks gain as crude slides,2005-05-11
Beating the brain drain,2005-05-23
Top stories before the bell Thursday,2005-05-26
"P&G, Gillette votes delayed until July",2005-05-26
"Procter & Gamble, Bob Evans, Scripps",2005-06-06
"P&G affirms profit, sales estimates",2005-06-06
"CMGI, Net2Phone pace late action",2005-06-06
"Updates, advisories and surprises",2005-06-06
Split paths on Wall Street,2005-06-07
Dollar strength could cut earnings,2005-06-13
"Circuit City, BofA, RF Mono",2005-06-16
Activision and the P&G pipeline,2005-06-16
"Updates, advisories and surprises",2005-06-20
"GE, Kroger, American Healthways",2005-06-20
P&G cuts profit view on Gillette buy,2005-06-21
Judge won't limit ruling on Gillette,2005-06-21
Bank of America to buy MBNA,2005-06-30
Boeing taps 3M's McNerney as CEO,2005-06-30
Stock funds back on track,2005-07-01
Top stories before the bell on Tuesday,2005-07-05
P&G still sees Gillette closing this fall,2005-07-05
Stocks lifted by manufacturing data,2005-07-05
Top stories before the bell on Monday,2005-07-11
"Weaker oil, M&A give modest lift",2005-07-11
P&G upgraded on eve of holders' votes,2005-07-11
"Stocks rally on weaker oil, M&A deals",2005-07-11
"P&G, Gillette holders approve merger",2005-07-12
E.U. approves P&G's buyout of Gillette,2005-07-15
Stocks post third week of gains,2005-07-15
Data gives another push to futures,2005-07-15
"Kimberly-Clark to cut jobs, take charges",2005-07-22
"EBay, P&G help futures higher",2005-08-01
Top stories before the bell on Monday,2005-08-01
Procter & Gamble shows broad growth,2005-08-01
"Updates, advisories and surprises",2005-08-01
August gets off to a mixed start,2005-08-01
Adidas to buy Reebok for $3.8 billion,2005-08-03
Gillette net up 17%; exceeds views,2005-08-04
Report: P&G brand auctions underway,2005-08-04
"Oil, retail sales worries hit stocks",2005-08-04
"Fund managers tout value, dividends",2005-08-16
P&G's stock gets lift from Barron's report,2005-08-22
U.S. stocks end up after uneven day,2005-08-22
Stocks end at seven-week low,2005-08-26
WPP first-half net soars 43%,2005-08-26
Coffee prices rise in Katrina's wake,2005-09-01
Ad-spend growth's higher than expected,2005-09-06
P&G still assessing Katrina impact,2005-09-08
"Updates, advisories and surprises",2005-09-08
New Orleans coffee undamaged,2005-09-08
"At idle port, big business is on hold",2005-09-09
"Updates, advisories and surprises",2005-09-13
"Lehman, GE, P&G, Lions Gate, TI expected to feature",2005-09-14
"Stock futures dip, oil prices up",2005-09-14
P&G to restart New Orleans plants,2005-09-14
P&G affirms view despite hurricane,2005-09-19
Indexes slide as Genta soars,2005-09-19
Tempur-Pedic shares drop 16%,2005-09-19
"Updates, advisories and surprises",2005-09-19
"Goldman Sachs, Procter & Gamble",2005-09-19
P&G affirms view despite hurricane,2005-09-20
"New York Times, Elan, Morgan Stanley",2005-09-21
Leader of the pack,2005-09-21
Whose earnings are in good shape?,2005-09-30
Profits after the deluge,2005-09-30
"P&G, Gillette merger clears hurdle",2005-09-30
TiVo dips after CFO resigns,2005-09-30
S&P announces index changes,2005-09-30
Lennar to replace Gillette in S&P 500,2005-10-03
Personal-care stocks seen hit by storms,2005-10-03
P&G backs dilution view on Gillette deal,2005-10-03
"Updates, advisories and surprises",2005-10-03
"P&G, Eastman Kodak, Lexmark, BP expected to feature",2005-10-04
Choppy session may be in cards,2005-10-04
"P&G cut to hold on costs, valuation",2005-10-04
"Warnings, inflation fears take their toll",2005-10-04
"Europe lower as miners, oils weigh",2005-10-05
Miners drag London to lower finish,2005-10-05
Oil stocks lead Europe ADR decliners,2005-10-05
Smoking the fast-food industry,2005-10-06
"Futures rally after data, GE results",2005-10-14
"GE, Ford, GM, Hilton, Knight Ridder in trading focus",2005-10-14
"SBC, Merck, State Street, Morgan Stanley in spotlight",2005-10-24
M&A jumps past $2 trillion mark for 2005,2005-10-31
"P&G, Colgate seen posting profit gains",2005-10-31
"Procter & Gamble, Marsh & McLennan",2005-10-31
"Updates, advisories and surprises",2005-11-01
Kicking off November on a sour note,2005-11-01
Dell decline knocks down tech sector,2005-11-01
"UBS, Viacom, P&G, Qwest, Dell in the spotlight",2005-11-01
"P&G, Colgate post strong results",2005-11-01
Alexion sinks on failed drug trial,2005-11-23
Tips for a debt-free holiday,2005-12-01
Disney asks Mitchell to stay on for '06,2005-12-02
Ad spending up 3% so far in 2005,2005-12-07
"H-P, DreamWorks in conferencing deal",2005-12-12
"ConocoPhillips, Lehman Brothers and P&G in focus",2005-12-13
Traders stay away before Fed move,2005-12-13
"P&G sees sales, earnings at top of range",2005-12-13
Fed signal on rates boosts stocks,2005-12-13
Top E.U. court upholds GE deal veto,2005-12-14
Dow buying spree,2005-12-20
Top 10 market stories of 2006,2005-12-22
Colgate sells Southeast Asian brands,2006-01-03
Group may sue PepsiCo over olestra,2006-01-04
Getting that tempting 5% yield,2006-01-12
Consumer goods investors eye costs,2006-01-19
Super Bowl ads cutting the sleaze,2006-01-25
"Colgate gains on prices, savings",2006-01-25
Procter & Gamble eyes nanotech,2006-01-25
"Microsoft, P&G, Chevron, SanDisk",2006-01-26
"P&G net, sales lifted by Gillette deal",2006-01-27
"Futures up, but off highs",2006-01-27
Earnings fuel solid weekly gains,2006-01-27
"P&G net, sales lifted by Gillette deal",2006-01-27
"Updates, advisories and surprises",2006-01-27
"Exxon Mobil, Pfizer, Aflac, Kraft Foods",2006-01-27
"Procter & Gamble, Microsoft, Pfizer, Wal-Mart in focus",2006-01-27
Nikkei builds on U.S. gains,2006-01-30
Amgen stokes drug stocks,2006-02-01
"Atmel, Graham, JetBlue Airways",2006-02-01
Nastech surges on P&G deal,2006-02-01
"Google, FOMC tug on stock futures",2006-02-01
Crossing guards,2006-02-01
Pfizer unit sale should garner high price,2006-02-08
"Home Depot, Time Warner lift futures",2006-02-21
"P&G tightens outlook, raises dividend",2006-03-13
"Goldman Sachs, Lexar Media, Chipotle",2006-03-13
"Updates, advisories and surprises",2006-03-13
"P&G, weak retail data weigh on futures",2006-03-14
"P&G cuts sales view, shares fall",2006-03-14
S&P 500 closes at five-year high,2006-03-14
Spectrum Brands cuts forecast,2006-04-06
Disney puts TV shows on Web for free,2006-04-10
"Hershey profit rises, sales sluggish",2006-04-20
"Colgate profit rises on sales, volume gains",2006-04-26
"P&G, Time Warner, Alltel, Starbucks, Adobe",2006-05-02
"P&G profit climbs, but sales come up light",2006-05-03
"Updates, advisories and surprises",2006-05-03
Stocks rein in losses on drop in crude,2006-05-03
"Futures mixed, as P&G falls, Qualcomm gains",2006-05-03
"Time Warner, Procter & Gamble, Qwest in the spotlight",2006-05-03
"Church & Dwight profit, sales rise",2006-05-09
P&G says Gillette integration on track,2006-05-10
New-media competition adds twist to upfronts,2006-05-12
Inventory issues key to Wal-Mart profit,2006-05-16
Investing in China no easy task,2006-05-17
Revlon shares fall to historic lows,2006-06-02
Revlon's short-lived comeback,2006-06-02
"BMC Software, H&R Block, Novellus",2006-06-07
"Report: Glaxo, J&J bidding on Pfizer unit",2006-06-07
"Updates, advisories and surprises",2006-06-07
"Rate, growth fears hit stock futures",2006-06-08
P&G backs fiscal fourth-quarter view,2006-06-08
"Cascade, Parlux Fragrances, Volt",2006-06-08
Dow rebounds as S&P holds support,2006-06-08
"Updates, advisories and surprises",2006-06-08
"Stocks hit by commodities, housing S&P 500 is now negative for the year",2006-06-19
"Intel, P&G, NYSE, Siemens, Nokia, Circuit City in focus",2006-06-19
Stock futures signal bright start to the week,2006-06-19
Procter & Gamble seen as a good defensive move,2006-06-19
Licensing biz banks on familiar faces,2006-06-20
"J&J overpaid for Pfizer consumer unit, analysts say",2006-06-26
"Red Hat, 3Com, Walt Disney",2006-06-28
"Red Hat, Micron fall after results",2006-06-28
"McDonald's, General Mills, Disney in the spotlight",2006-06-29
Don't get blindsided,2006-07-09
"Genentech, Monster, Secure Computing",2006-07-11
"Price hikes, sales gain seen boosting Colgate profit",2006-07-21
"Colgate profit falls on charges, exceeds view",2006-07-25
Energizer profit falls but tops view; shares rise,2006-07-25
"GM, Computer Sciences, Philips Electronics",2006-08-01
P&G profit rises 36% on 25% higher sales,2006-08-02
U.S. stocks rally; Dow backs off triple-digit gain,2006-08-02
"Answerthink, Imperial Sugar, Tronox, more",2006-08-02
"Updates, advisories and surprises",2006-08-02
P&G organic sales growth allays analyst fears,2006-08-02
U.S. stock futures tilt higher after recent declines,2006-08-02
"Cadbury, Danone, Philips help pull index higher",2006-08-02
"Time Warner, Procter & Gamble, Cadbury and more",2006-08-02
Unilever's profit climbs 35%; shares drop,2006-08-03
"Tommy the Clown, professor of marketing",2006-08-03
Church & Dwight profit rises; lifts forecast,2006-08-08
Energy conservation controversy,2006-08-17
Five ways to recession-proof your portfolio,2006-09-02
U.S. stock futures turn up after Labor Day break,2006-09-05
"Chevron, Alcoa, Alcan in the spotlight",2006-09-05
Stocks eke out a gain,2006-09-05
Wake up and smell the profits!,2006-09-05
"Updates, advisories and surprises",2006-09-05
"Intel, Hovnanian, Ford",2006-09-05
P&G affirms quarterly outlook for profit and sales,2006-09-05
First half ad spending less lofty than expected,2006-09-06
"Procter & Gamble, Palm, KB Home in the spotlight",2006-09-07
P&G upped to buy at SunTrust,2006-09-07
Dot-com candidates for buyouts,2006-09-13
New lease for large-caps,2006-09-14
U.S. stock futures tick up ahead of confidence data,2006-09-26
"Lennar, Lowe's, Cablevision, Harrah's expected to feature",2006-09-26
"Bare Escentuals, Shutterfly draw fans",2006-09-29
Record-setting profit engines,2006-10-06
Liz Claiborne names J&J exec as CEO,2006-10-16
"Analyst: Buy Google, Goldman Sachs",2006-10-18
"Colgate profit falls on charges, exceeds view",2006-10-25
"P&G seen posting profit, sales gains",2006-10-26
"Procter & Gamble, Kodak, Qwest, Verizon, Alcan in focus",2006-10-31
U.S. stock futures up as P&G lifts earnings outlook,2006-10-31
Wall Street logs best October in three years,2006-10-31
"P&G profit up 33% on razor, toothpaste sales",2006-10-31
"Updates, advisories and surprises",2006-10-31
"Clorox results gain on price hikes, savings",2006-11-01
"Church & Dwight reports higher profit, sales",2006-11-07
Two-session run of gains ahead of election results,2006-11-07
T. Rowe Price pundits eye soft landing,2006-11-29
"Sirius Satellite, Novell, Henry Schein",2006-12-04
"Amrep, Cooper Tire, Direct General, more",2006-12-05
International Web sites pitch for Webbys,2006-12-07
"Corus, Nuvelo, DirecTV, Hubbell, more",2006-12-11
U.S. stock futures turn mixed as OPEC meets,2006-12-14
"Updates, advisories and surprises",2006-12-14
"Lehman Brothers, Bear Stearns, Costco in focus",2006-12-14
U.S. stocks climb on upbeat profit outlooks,2006-12-14
Procter & Gamble confirms outlook,2006-12-14
"InfoSonics, OxiGene, Wolverine Tube, more",2006-12-27
Kimberly-Clark could be a takeover play,2007-01-08
P&G reorganizes former Gillette business,2007-01-10
Orange-juice turmoil: The squeeze already was on,2007-01-16
"U.S. stock futures slip on PPI jump, Intel outlook",2007-01-17
"P&G raised to buy at Goldman, upside seen",2007-01-17
U.S. stocks end lower; Dow backs off early record,2007-01-17
"J. P. Morgan, Intel, Lennar, McDonald's, Southwest to feature",2007-01-17
"Biolase in pact with Procter & Gamble, gets $3 mln up front",2007-01-25
Household goods firms seen posting solid results,2007-01-25
U.S. stocks end mixed amid caution ahead of Fed,2007-01-29
"P&G, Colgate post strong profit gains",2007-01-30
"Updates, advisories and surprises",2007-01-30
U.S. stocks end higher as oil rallies ahead of Fed,2007-01-30
U.S. stock futures ride higher on earnings wave,2007-01-30
"Procter & Gamble, 3M, Merck & Co., Motorola in focus",2007-01-30
"Clorox profit rises on price hikes, cost savings",2007-02-01
Unilever's profit vaults despite lackluster sales,2007-02-08
P&G reportedly to invest in Poland cosmetics factory,2007-02-21
Procter & Gamble plans $4 billion equivalent three-tranche bond issue,2007-02-27
