Headline,Date
U.S. stock futures stumble on China jitters,2010-06-29
"Tesla shares open at $19 in IPO, above $17 offer",2010-06-29
Tesla IPO opens at $19 a share,2010-06-29
Elevation increases its stake in fast-growing Facebook,2010-06-29
"Gamblers, believers unite behind Tesla IPO",2010-06-29
Tesla shares stage late rally in debut session,2010-06-29
Tesla Motors shares soar 41% in market debut,2010-06-29
"Smith and Wesson, Apollo Group in midweek crosshairs",2010-06-29
"Barnes & Noble, Canadian Pacific, Citigroup, Tesla Motors",2010-06-29
Tesla shares start trading,2010-06-29
Tesla ends slightly down in wild second day ride,2010-06-30
"Tesla, Primerica shine in otherwise weak 2010 IPO market",2010-06-30
Tesla shares jump even higher post-IPO,2010-06-30
"Tesla shares up 9%, climbing even higher post-IPO",2010-06-30
"Airlines, Argon ST, CF Industries, Ford Motor, Tesla Motors",2010-06-30
Tesla shares drop 13% on third day,2010-07-01
"Tesla turns heads, makes mark in Scandinavia",2010-07-02
MarketWatch's top stories June 28 - July 2,2010-07-02
"Allied Irish, Bebe, BP, Tenet, Tesla, Cliffs Natural, Office Depot",2010-07-06
Tesla shares slip below IPO price,2010-07-06
"Eyes on Tesla, Ambac, US Airways and more",2010-07-06
U.S. stock futures turn up as commodities rise,2010-07-07
Tesla hires former Apple executive Blankenship,2010-07-08
Tesla hires former Apple executive Blankenship,2010-07-08
"Investors see venture capital fading in U.S., growing abroad",2010-07-14
Online grocer faces down ghosts of the past in its bid to go public,2010-07-15
Honda's green machines,2010-07-21
First mainstream electric cars on track for 2010-11 launch,2010-07-27
Tesla Motors Q2 loss $5.04 a share vs $1.56 loss,2010-08-04
Tesla Motors Q2 rev $28.4 mln vs $26.9 mln,2010-08-04
Tesla Motors loss widens in first public report,2010-08-04
"Updates, advisories and surprises",2010-08-04
Tesla recalls 2 Roadster models for power-cable issue,2010-10-03
"For tech, an unpredictable IPO year",2010-10-08
CORRECT: Tesla collaborating with Toyota,2010-10-13
"Tesla, Toyota in electric powertrain system deal",2010-10-13
Panasonic reportedly to invest in Tesla Motors,2010-11-03
Panasonic invests $30 million in Tesla Motors,2010-11-03
Tesla surges 10% on Panasonic deal,2010-11-04
Tesla Motors Q3 loss 38c vs 66c loss,2010-11-09
Tesla Motors Q3 revenue $31.2 mln vs $45.5 mln,2010-11-09
"Tesla loses $34.9 million, sales drop",2010-11-09
"Tesla loses $34.9 million, sales drop",2010-11-09
"Updates, advisories and surprises",2010-11-09
"Cisco Systems, Macy’s, Polo",2010-11-09
Tesla shares charge 8% higher on results,2010-11-10
"AgFeed Industries, BJ’s Wholesale, Tesla",2010-11-10
Tech IPOs are popular everywhere but here,2010-11-23
Thanking Silicon Valley for great stories,2010-11-25
Tesla resolves nagging trademark dispute,2010-12-02
"Crocs, Jo-Ann Stores, Eastman Kodak",2010-12-23
Tesla shares skid 7% on sell rating,2010-12-23
