,TSLA,TSLA,TSLA,TSLA,TSLA
,open,high,low,close,volume
time,,,,,
2016-08-29 00:00:00-04:00,220.15,220.4,215.0,215.2,2698396
2016-08-30 00:00:00-04:00,215.31,216.11,210.52,211.34,2533617
2016-08-31 00:00:00-04:00,211.31,212.6,208.65,211.95,2217048
2016-09-01 00:00:00-04:00,209.01,211.0999,200.5,200.77,6685294
2016-09-02 00:00:00-04:00,203.0,203.2,196.2,197.78,4832382
2016-09-06 00:00:00-04:00,199.02,203.25,199.0,202.82,3442023
2016-09-07 00:00:00-04:00,205.5,206.4968,200.71,201.7,2614992
2016-09-08 00:00:00-04:00,199.73,199.89,196.36,197.49,2614970
2016-09-09 00:00:00-04:00,198.61,199.92,193.7,194.47,3031990
2016-09-12 00:00:00-04:00,195.39,201.369,194.1,198.28,2873818
2016-09-13 00:00:00-04:00,197.06,198.49,193.45,196.05,2916758
2016-09-14 00:00:00-04:00,195.99,197.9248,194.8562,196.49,1567008
2016-09-15 00:00:00-04:00,196.48,202.5193,196.4,200.24,2185735
2016-09-16 00:00:00-04:00,200.15,205.7,199.0,205.4,2161229
2016-09-19 00:00:00-04:00,207.0,209.43,205.0,206.34,1830197
2016-09-20 00:00:00-04:00,206.85,207.75,203.91,204.52,1629068
2016-09-21 00:00:00-04:00,206.24,207.0,201.56,205.2,2030694
2016-09-22 00:00:00-04:00,206.4,207.28,203.0,206.28,1907075
2016-09-23 00:00:00-04:00,205.99,210.18,205.67,207.45,2136818
2016-09-26 00:00:00-04:00,206.5,211.0,206.5,209.03,1658334
2016-09-27 00:00:00-04:00,209.65,209.9818,204.6093,205.89,2295358
2016-09-28 00:00:00-04:00,207.58,208.25,205.26,206.27,1353461
2016-09-29 00:00:00-04:00,205.6,207.33,200.58,200.7,2182820
2016-09-30 00:00:00-04:00,202.42,204.98,199.55,204.01,1963389
2016-10-03 00:00:00-04:00,212.3,215.6688,208.25,213.6575,5086498
