Headline,Date
Netflix Inc. stock underperforms Monday when compared to competitors,"Nov. 16, 2020 at 4:30 p.m. ET"
"Zoom, Peloton, Netflix stocks among stay-home names declining after upbeat Moderna vaccine announcement","Nov. 16, 2020 at 8:30 a.m. ET"
Why the Good News on Vaccines Could Be Bad News for Stocks,"Nov. 13, 2020 at 9:01 p.m. ET"
"Netflix Inc. stock falls Friday, underperforms market","Nov. 13, 2020 at 4:30 p.m. ET"
Disney Stock Is Climbing After Earnings. Here’s What Wall Street Is Saying.,"Nov. 13, 2020 at 2:51 p.m. ET"
Disney Lost Less Money Than Expected. Disney+ Stole the Show.,"Nov. 12, 2020 at 5:41 p.m. ET"
"Netflix Inc. stock falls Thursday, still outperforms market","Nov. 12, 2020 at 4:30 p.m. ET"
"Zoom Video is ‘the second coming,’ analyst says","Nov. 12, 2020 at 11:03 a.m. ET"
Netflix Inc. stock outperforms market on strong trading day,"Nov. 11, 2020 at 4:30 p.m. ET"
Disney Reports Earnings Today. Here’s What to Expect.,"Nov. 11, 2020 at 7:00 a.m. ET"
"Netflix Inc. stock rises Tuesday, outperforms market","Nov. 10, 2020 at 4:25 p.m. ET"
He bought Tesla and Apple in 2013 — now he’s got $5.4 million and is asking the internet what to do with it,"Nov. 10, 2020 at 1:13 p.m. ET"
Netflix stock price target raised to $392 from $380 at Benchmark,"Nov. 10, 2020 at 6:20 a.m. ET"
"Vaccine News Is Sparking Selloff in Zoom, Peloton and Other Stay-at-Home Stocks","Nov. 9, 2020 at 11:32 a.m. ET"
"Zoom, Peloton, Etsy lead stay-at-home tech selloff after upbeat Pfizer vaccine announcement","Nov. 9, 2020 at 9:13 a.m. ET"
"Netflix Inc. stock rises Friday, outperforms market","Nov. 6, 2020 at 4:25 p.m. ET"
ViacomCBS Is Doing Well In Streaming. But It’s Not Enough.,"Nov. 6, 2020 at 1:22 p.m. ET"
Netflix Inc. stock outperforms competitors on strong trading day,"Nov. 5, 2020 at 4:25 p.m. ET"
"‘If Jesus Were a Stock, He’d Be Netflix’","Mar. 17, 2017 at 12:29 p.m. ET"
"Netflix Inc. stock rises Wednesday, still underperforms market","Nov. 4, 2020 at 4:25 p.m. ET"
Roku Reports Earnings Today. Here’s What to Look for.,"Nov. 4, 2020 at 5:30 a.m. ET"
Canada proposes tax on streaming companies,"Nov. 3, 2020 at 11:22 p.m. ET"
"Netflix Inc. stock rises Tuesday, still underperforms market","Nov. 3, 2020 at 4:25 p.m. ET"
You shouldn’t believe all this talk about a stock-market bubble about to burst — here’s why,"Nov. 3, 2020 at 6:40 a.m. ET"
"Netflix Inc. stock rises Monday, outperforms market","Nov. 2, 2020 at 4:25 p.m. ET"
Fubo TV Stock Rallies as Buy Ratings Pour In,"Nov. 2, 2020 at 2:15 p.m. ET"
Here’s everything coming to Netflix in November 2020 — and what’s leaving,"Nov. 2, 2020 at 6:28 a.m. ET"
‘The Crown’ and ‘The Mandalorian’ return: Here’s what’s worth streaming in November 2020,"Oct. 27, 2020 at 5:16 p.m. ET"
