Headline,Date
"Nike Inc. Cl B stock rises Monday, outperforms market","Nov. 16, 2020 at 8:03 p.m. ET"
"Nike Inc. Cl B stock rises Friday, still underperforms market","Nov. 13, 2020 at 8:03 p.m. ET"
These 23 stocks and ETFs will benefit from the 6 most important changes for stock-market investors under Biden,"Nov. 11, 2020 at 3:15 a.m. ET"
"Nike Shares Jump 26% This Year, and Two More Numbers to Know","Nov. 13, 2020 at 5:00 a.m. ET"
"Nike Inc. Cl B stock falls Thursday, still outperforms market","Nov. 12, 2020 at 8:03 p.m. ET"
Nike Stock Has Had a Good Run. Here’s Why It Could Go Higher.,"Nov. 12, 2020 at 10:06 a.m. ET"
These stocks rose the most Wednesday as investors cheered a divided government following the elections,"Nov. 4, 2020 at 5:18 p.m. ET"
Supercar maker McLaren takes on Nike and Adidas by launching high-end sportswear range,"Nov. 3, 2020 at 3:31 p.m. ET"
Nike says it will cut 700 jobs from its Oregon HQ by 2021,"Nov. 3, 2020 at 11:56 a.m. ET"
Under Armour’s Beaten-Down Stock Is Rising Again. Stifel Says It’s a Buy.,"Nov. 2, 2020 at 3:57 p.m. ET"
"Honeywell International Inc., Amgen Inc. share gains contribute to Dow's 225-point climb","Nov. 2, 2020 at 9:45 a.m. ET"
These are the worst-performing stocks in October as Big Tech slumps,"Oct. 30, 2020 at 5:14 p.m. ET"
"Apple Inc., Boeing share losses contribute to Dow's 316-point fall","Oct. 30, 2020 at 3:44 p.m. ET"
"Apple Inc., Boeing share losses lead Dow's 368-point fall","Oct. 30, 2020 at 11:49 a.m. ET"
"Nike Inc. Cl B stock falls Wednesday, underperforms market","Oct. 28, 2020 at 7:25 p.m. ET"
Here are Wednesday’s biggest losers in the stock market as 97% of S&P 500 companies dropped,"Oct. 28, 2020 at 5:34 p.m. ET"
"Dow's 812-point drop led by losses for Nike, Visa stocks","Oct. 28, 2020 at 3:13 p.m. ET"
What’s Next for Nike Stock? Here’s the Bull Case and the Bear Case.,"Jan. 9, 2019 at 11:14 a.m. ET"
How Nike Stock Beat the Dow in 2018,"Dec. 30, 2018 at 10:00 a.m. ET"
How Amazon Could Take on Lululemon,"Jan. 5, 2017 at 5:14 p.m. ET"
"Dow's 881-point drop led by losses for shares of Visa, Caterpillar","Oct. 28, 2020 at 2:13 p.m. ET"
"Visa, Salesforce.com Inc. share losses lead Dow's 800-point fall","Oct. 28, 2020 at 12:54 p.m. ET"
Holiday Shopping Is Starting Early. Don’t Be Fooled: Dump Department-Store Stocks Soon.,"Oct. 23, 2020 at 6:19 p.m. ET"
"Travelers, Walmart share gains lead Dow's 29-point climb","Oct. 21, 2020 at 2:27 p.m. ET"
"Travelers, Walt Disney share gains lead Dow's 75-point jump","Oct. 21, 2020 at 12:22 p.m. ET"
"Dow climbs nearly 75 points on gains in Travelers, Visa stocks","Oct. 21, 2020 at 9:45 a.m. ET"
"Dow's 188-point climb highlighted by gains for Travelers, Honeywell International Inc. shares","Oct. 20, 2020 at 12:02 p.m. ET"
"Apple Inc., Salesforce.com Inc. share gains contribute to Dow's 86-point climb","Oct. 19, 2020 at 9:47 a.m. ET"
Want a Cheaper Way to Play Nike? Buy Foot Locker Stock.,"Oct. 13, 2020 at 11:45 a.m. ET"
Nike Co-founder Phil Knight Gives More Than $900 Million to Charity,"Oct. 9, 2020 at 6:09 p.m. ET"
A Covid Vaccine Won’t Stop Online Shopping. 6 Stocks That Will Benefit.,"Oct. 9, 2020 at 9:45 a.m. ET"
Under Armour Stock Is Down Because Consumers Are Into Other Brands,"Apr. 9, 2019 at 12:51 p.m. ET"
"Starbucks, Nike, and Other Things to Watch for in December","Dec. 1, 2018 at 6:00 a.m. ET"
Athletic Wear: These Are the Top Brands for Young Consumers,"Jul. 9, 2018 at 10:32 a.m. ET"
Amazon: These Brands Are Big on Prime Wardrobe,"Jun. 27, 2018 at 3:21 p.m. ET"
Nike: Have Investors Left Their ‘Skepticism’ Behind?,"Jun. 21, 2018 at 10:14 a.m. ET"
Nike and Under Armour Slammed by Sneaker Recession,"Aug. 18, 2017 at 11:27 a.m. ET"
Is Foot Locker in Trouble?,"Jul. 7, 2017 at 5:37 p.m. ET"
Why Tariff Fears Could be Overblown at Nike,"Jan. 24, 2017 at 6:08 p.m. ET"
Why Steph Curry’s Success Could Crack Under Armour,"Nov. 28, 2016 at 4:16 p.m. ET"
Nike Stock Is Surging. Co-Founder Phil Knight Sold a Large Block of Shares.,"Oct. 8, 2020 at 7:00 a.m. ET"
"Dow's nearly 100-point climb led by gains for shares of Dow Inc., Goldman Sachs","Oct. 6, 2020 at 12:51 p.m. ET"
"From Nike to Ulta, Teens Are Still Spending on Their Favorite Brands","Oct. 6, 2020 at 12:51 p.m. ET"
Here are the biggest winners in a solid third quarter for U.S. stocks,"Oct. 3, 2020 at 3:08 p.m. ET"
"Charting bullish follow-through, S&P 500 ventures atop 50-day average","Sep. 30, 2020 at 11:36 a.m. ET"
Nike Stock Looks Good for the Long Run,"Sep. 25, 2020 at 7:27 p.m. ET"
"Dow's nearly 50-point fall led by losses in shares of Boeing, Nike","Sep. 24, 2020 at 10:46 a.m. ET"
Nike stock surges 10% as fiscal 2021 revenue is expected to rise as much as low double digits,"Sep. 23, 2020 at 2:01 p.m. ET"
"Nike, Johnson & Johnson share gains lead the way, but Dow flat","Sep. 23, 2020 at 10:45 a.m. ET"
Nike’s Strong Earnings Kick Off a Sector Rally,"Sep. 23, 2020 at 10:39 a.m. ET"
Nike’s Earnings Were So Good Its Rivals Adidas and Puma Are Rising,"Sep. 23, 2020 at 10:36 a.m. ET"
Nike's stock rally keeping the Dow in positive territory,"Sep. 23, 2020 at 10:22 a.m. ET"
