Headline,Date
Procter & Gamble Co. stock underperforms Monday when compared to competitors,"Nov. 16, 2020 at 6:56 p.m. ET"
Procter & Gamble Co. stock outperforms market on strong trading day,"Nov. 13, 2020 at 6:56 p.m. ET"
"Procter & Gamble Co. stock rises Thursday, outperforms market","Nov. 12, 2020 at 6:56 p.m. ET"
Coty swings to profit despite pandemic effects,"Nov. 6, 2020 at 6:47 a.m. ET"
These stocks rose the most Wednesday as investors cheered a divided government following the elections,"Nov. 4, 2020 at 5:18 p.m. ET"
George Floyd’s Death Leads to a Surge of New Black Board Members,"Oct. 30, 2020 at 8:13 p.m. ET"
These are the worst-performing stocks in October as Big Tech slumps,"Oct. 30, 2020 at 5:14 p.m. ET"
"Procter & Gamble Co. stock falls Wednesday, still outperforms market","Oct. 28, 2020 at 6:28 p.m. ET"
Here are Wednesday’s biggest losers in the stock market as 97% of S&P 500 companies dropped,"Oct. 28, 2020 at 5:34 p.m. ET"
Procter & Gamble Co. stock outperforms competitors on strong trading day,"Oct. 27, 2020 at 6:49 p.m. ET"
The Number of Black Board Members Surged After George Floyd’s Death,"Oct. 27, 2020 at 10:30 a.m. ET"
Why Coke Stock Could Pop,"Oct. 23, 2020 at 7:45 p.m. ET"
"Travelers, Walt Disney share gains lead Dow's 75-point jump","Oct. 21, 2020 at 12:22 p.m. ET"
Procter & Gamble stock price target raised to $148 from $135 at UBS,"Oct. 21, 2020 at 10:08 a.m. ET"
"Dow climbs nearly 75 points on gains in Travelers, Visa stocks","Oct. 21, 2020 at 9:45 a.m. ET"
Procter & Gamble stock price target raised to $154 from $150 at Deutsche Bank,"Oct. 21, 2020 at 7:51 a.m. ET"
"20 stocks to help you play a big ‘restocking’ of consumer goods, according to Jefferies","Oct. 19, 2020 at 1:56 p.m. ET"
"Travelers, Dow Inc. share gains lead Dow's 100-point climb","Oct. 20, 2020 at 11:02 a.m. ET"
Procter & Gamble Stock Is Up Because the Cleaning Products Craze Boosted Sales,"Oct. 20, 2020 at 9:49 a.m. ET"
"Dow jumps 175 points on gains in shares of Travelers, Procter & Gamble","Oct. 20, 2020 at 9:45 a.m. ET"
"Procter & Gamble shares up after earnings beat, guidance raised","Oct. 20, 2020 at 7:42 a.m. ET"
Procter & Gamble Q1 EPS $1.63 vs. $1.36 last year; FactSet consensus $1.42,"Oct. 20, 2020 at 7:21 a.m. ET"
Proctor & Gamble expects fiscal 2021 EPS to rise 4%-9% from fiscal 2020 EPS of $4.96,"Oct. 20, 2020 at 7:14 a.m. ET"
Procter & Gamble shares rise 1.8% in Tuesday premarket trading,"Oct. 20, 2020 at 7:10 a.m. ET"
Procter & Gamble Q1 sales $19.32B vs. $17.80B last year; FactSet consensus $18.38B,"Oct. 20, 2020 at 7:10 a.m. ET"
Stocks Fell Sharply Monday Amid Growing Stimulus Worries,"Oct. 19, 2020 at 6:01 a.m. ET"
P&G Reports Earnings Tomorrow. Here’s What to Expect.,"Oct. 19, 2020 at 2:54 p.m. ET"
"Tesla, Netflix, AT&T, Chipotle, IBM, and Other Stocks for Investors to Watch This Week","Oct. 18, 2020 at 3:00 p.m. ET"
"Boeing, Caterpillar share gains lead Dow's 150-point climb","Oct. 16, 2020 at 9:45 a.m. ET"
Procter & Gamble stock price target raised to $163 from $143 at J.P. Morgan,"Oct. 16, 2020 at 7:57 a.m. ET"
Procter & Gamble stock price target raised to $150 from $138 at Stifel Nicolaus,"Oct. 16, 2020 at 7:52 a.m. ET"
Surprising investor rebellion at Procter & Gamble over toilet paper’s forest impact,"Oct. 15, 2020 at 12:02 a.m. ET"
Pepsi Stock Has Been Falling Behind. Why That Could Change.,"Oct. 12, 2020 at 9:21 a.m. ET"
"Costco, Walmart, and Other Consumer Stocks Could Keep Rallying. A Fund Manager Explains Why.","Oct. 8, 2020 at 8:00 a.m. ET"
Here are the biggest winners in a solid third quarter for U.S. stocks,"Oct. 3, 2020 at 3:08 p.m. ET"
"Amazon’s Ad Business Is Seriously Undervalued, Analyst Says. His Price Target Is Street’s Highest.","Oct. 1, 2020 at 2:50 p.m. ET"
"Dow's nearly 100-point climb led by gains for shares of Nike, Microsoft","Sep. 22, 2020 at 2:41 p.m. ET"
"Nike, Procter & Gamble share gains lead the way, but Dow flat","Sep. 22, 2020 at 1:33 p.m. ET"
9 Consumer-Staples Stocks That Can Keep Growing After Covid Is Gone,"Sep. 17, 2020 at 7:00 a.m. ET"
Hut Group shares soar more than 30% on market debut in London’s biggest ever tech IPO,"Sep. 16, 2020 at 7:51 a.m. ET"
Here are the biggest stock-market losers on Thursday as the tech sector tanks,"Sep. 4, 2020 at 6:11 a.m. ET"
These 74 stocks in the S&P 500 hit all-time records on Wednesday,"Sep. 3, 2020 at 6:55 a.m. ET"
Here are the big winners among U.S. stocks during a sizzling August,"Sep. 1, 2020 at 9:56 a.m. ET"
"These ‘Dividend Aristocrat’ stocks have been raising their dividends for decades, and there have been no dividend cuts during the pandemic","Aug. 29, 2020 at 10:26 a.m. ET"
"Apple Inc., Nike share gains lead Dow's 215-point climb","Aug. 21, 2020 at 3:01 p.m. ET"
Procter & Gamble stock price target raised to $149 from $145 at BofA Securities,"Aug. 18, 2020 at 12:10 p.m. ET"
‘Stagflation’ Looms Over This Market. Why Some Analysts Are Worried.,"Aug. 14, 2020 at 2:08 p.m. ET"
"Apple Inc., Travelers share losses lead the way, but Dow flat","Aug. 14, 2020 at 3:01 p.m. ET"
"Apple Inc., Cisco share losses lead the way, but Dow flat","Aug. 14, 2020 at 10:46 a.m. ET"
"Dow falls nearly 100 points on losses for shares of Apple Inc., Travelers","Aug. 14, 2020 at 9:45 a.m. ET"
Scott Galloway on TikTok and Big Tech’s Antitrust Reckoning,"Aug. 13, 2020 at 2:58 p.m. ET"
"After 150 days of the COVID-19 pandemic, here are the best- and worst-performing stocks","Aug. 11, 2020 at 9:27 a.m. ET"
"Merck, Johnson & Johnson share losses lead the way, but Dow flat","Aug. 6, 2020 at 11:31 a.m. ET"
Clorox and P&G struggle to meet COVID-19-related spike in demand,"Aug. 5, 2020 at 4:06 p.m. ET"
"Dow Inc., Exxon Mobil share gains contribute to Dow's 150-point climb","Aug. 4, 2020 at 3:56 p.m. ET"
"Dow jumps nearly 75 points on gains for shares of Dow Inc., McDonald's","Aug. 4, 2020 at 1:03 p.m. ET"
Facebook Is Hated. Its Stock Is Unstoppable. How to Play It With Options.,"Aug. 4, 2020 at 8:44 a.m. ET"
Procter & Gamble stock price target raised to $125 from $120 at SunTrust RH,"Jul. 31, 2020 at 7:33 a.m. ET"
Kellogg Stock Gains Because People Are Staying Home for Breakfast,"Jul. 30, 2020 at 11:50 a.m. ET"
PayPal Is Up as Oil and the Dow Drop,"Jul. 30, 2020 at 8:20 a.m. ET"
P&G Stock Gains as Covid Boosted Sales for Premium Cleaning Products,"Jul. 30, 2020 at 9:25 a.m. ET"
"P&G's stock climbs toward a record after profit and sales beats, upbeat outlook","Jul. 30, 2020 at 7:13 a.m. ET"
Procter & Gamble sees fiscal 2021 core EPS growth 3%-7%; FactSet consensus $5.23 implies 2.1% growth,"Jul. 30, 2020 at 7:03 a.m. ET"
Procter & Gamble Q4 sales $1.7.70 bln vs. $17.09 bln; FactSet consensus $16.95 bln,"Jul. 30, 2020 at 7:02 a.m. ET"
Procter & Gamble Q4 core EPS $1.16; FactSet consensus $1.01,"Jul. 30, 2020 at 7:02 a.m. ET"
Procter & Gamble Q4 EPS $1.07 vs. per-share loss $2.12 a year ago,"Jul. 30, 2020 at 7:01 a.m. ET"
Procter & Gamble Reports Earnings Tomorrow. Here’s What to Expect.,"Jul. 29, 2020 at 3:33 p.m. ET"
Bull trend pauses: S&P 500 traverses the range,"Jul. 29, 2020 at 12:10 p.m. ET"
Procter and Gamble stock price target raised to $138 from $133 at Deutsche Bank,"Jul. 27, 2020 at 7:49 a.m. ET"
"Amazon, Apple, Boeing, Starbucks, Visa and Other Stocks to Watch This Week","Jul. 26, 2020 at 3:00 p.m. ET"
This index ETF is beating the S&P 500 by excluding ‘losers’,"Jul. 23, 2020 at 9:24 a.m. ET"
"These stocks, including Tesla and Apple, are the real winners for the second quarter of 2020","Jul. 4, 2020 at 11:20 a.m. ET"
"Dow flat despite gains in shares of Intel, Goldman Sachs","Jun. 30, 2020 at 10:49 a.m. ET"
China Sales Data Point to Challenge for U.S. Personal-Care Companies,"Jun. 23, 2020 at 4:04 p.m. ET"
Here are the best and worst stocks during the first 100 days of the coronavirus pandemic,"Jun. 20, 2020 at 8:45 p.m. ET"
"Walgreens Boots, Dow Inc. share gains contribute to Dow's nearly 150-point jump","Jun. 19, 2020 at 10:46 a.m. ET"
"Dow up 225 points on gains for shares of Dow Inc., Walgreens Boots","Jun. 19, 2020 at 9:45 a.m. ET"
These U.S. stocks led the market’s brutal decline Thursday,"Jun. 12, 2020 at 6:49 a.m. ET"
These stocks rose by double digits Friday as underperforming sectors bounced back,"Jun. 6, 2020 at 3:38 p.m. ET"
"Nike, UnitedHealth share losses lead the way, but Dow flat","Jun. 4, 2020 at 3:59 p.m. ET"
"Dow's nearly 100-point fall led by losses for shares of UnitedHealth, Nike","Jun. 4, 2020 at 2:58 p.m. ET"
"Dow flat despite losses for UnitedHealth, Johnson & Johnson shares","Jun. 4, 2020 at 1:50 p.m. ET"
"If you think the time is right for value stocks, this diversified dividend ETF may fit the bill","Jun. 3, 2020 at 8:42 a.m. ET"
These stocks performed best in May as the market rally continued,"Jun. 1, 2020 at 6:42 a.m. ET"
"Merck, Pfizer share gains contribute to Dow's 86-point climb","May. 28, 2020 at 2:56 p.m. ET"
"Dow up 200 points on gains in shares of Boeing, Pfizer","May. 28, 2020 at 1:56 p.m. ET"
"Dow climbs 138 points on gains for shares of Boeing, Merck","May. 28, 2020 at 11:30 a.m. ET"
"Dow flat in spite of gains in shares of UnitedHealth, Travelers","May. 22, 2020 at 3:59 p.m. ET"
Two Stocks Nelson Peltz May Be Buying Now,"May. 22, 2020 at 12:12 p.m. ET"
Small-Caps Have Seen More Dividend Pressure Than Large-Caps Have,"May. 21, 2020 at 12:15 p.m. ET"
Financial stocks look ripe for dividend investors,"May. 20, 2020 at 9:03 a.m. ET"
"Dow's 100-point drop led by losses for Merck, Procter & Gamble shares","May. 19, 2020 at 3:15 p.m. ET"
"Dow down 36 points on losses for shares of Merck, Procter & Gamble","May. 19, 2020 at 2:14 p.m. ET"
"Dow falls nearly 100 points on losses for shares of Merck, Home Depot","May. 19, 2020 at 1:04 p.m. ET"
"Dow falls 25 points on losses in Exxon Mobil, Chevron stocks","May. 19, 2020 at 11:53 a.m. ET"
"The 5 ‘Most Compelling’ Dividend Aristocrats, According to an Analyst","May. 19, 2020 at 11:12 a.m. ET"
"Walt Disney, Home Depot share losses contribute to Dow's 168-point fall","May. 19, 2020 at 9:46 a.m. ET"
Here are Monday’s best stock-market performers as airlines and cruise lines shine,"May. 18, 2020 at 5:01 p.m. ET"
8 Dividend Stocks That Split the Difference Between Yield and Safety,"May. 14, 2020 at 10:00 a.m. ET"
"Boeing, Exxon Mobil share gains lead Dow's 300-point rally","May. 8, 2020 at 1:46 p.m. ET"
Destroying the ad-and-marketing budget is the worst thing a company could do to its brand during the pandemic,"May. 8, 2020 at 12:09 p.m. ET"
"Dow up 370 points on gains for Dow Inc., Boeing stocks","May. 8, 2020 at 11:25 a.m. ET"
These 10 Stocks Have Healthy Dividends and Low Default Risk,"May. 6, 2020 at 1:46 p.m. ET"
"Here are Friday’s biggest stock-market losers, driven lower by disappointing earnings and a shrinking manufacturing sector","May. 2, 2020 at 7:18 a.m. ET"
Lots of Companies Cut Dividends in April. Here Are Some Big Ones That Didn’t.,"May. 1, 2020 at 6:00 a.m. ET"
Dividend Growth Funds Hold Their Own in an Era of Payout Cuts and Suspensions,"Apr. 30, 2020 at 10:45 a.m. ET"
Here are the stock market’s biggest winners on Wednesday as investors see new hope,"Apr. 29, 2020 at 5:15 p.m. ET"
"On Earth Day, a Move to Unseat a JPMorgan Director and a Warning About ‘Greenwashing’","Apr. 22, 2020 at 5:19 p.m. ET"
Kimberly-Clark Beat Earnings Estimates. Thank the Toilet Paper Scare.,"Apr. 22, 2020 at 8:39 a.m. ET"
Here are Tuesday’s worst stocks as the S&P 500 posts the biggest decline in three weeks,"Apr. 21, 2020 at 8:44 p.m. ET"
Kimberly-Clark Earnings Are Coming. Get Ready To Hear About Toilet Paper.,"Apr. 21, 2020 at 8:00 a.m. ET"
"Dow falls 170 points on losses for Boeing, American Express shares","Apr. 20, 2020 at 11:47 a.m. ET"
Procter & Gamble stock price target raised to $133 from $131 at Deutsche Bank,"Apr. 20, 2020 at 9:56 a.m. ET"
The 40 Stocks in the S&P 500 With the Safest Dividends — and 40 That Could Be at Risk,"Apr. 20, 2020 at 6:30 a.m. ET"
26 safe dividend plays for income investors to buy now,"Apr. 19, 2020 at 8:52 a.m. ET"
The Market Had a Breakout Week — Unless You Were a Small-Cap Stock,"Apr. 17, 2020 at 7:49 p.m. ET"
"J&J and P&G, in Raising Their Dividends, Buck the Broader Trend","Apr. 16, 2020 at 7:00 a.m. ET"
P&G upgraded to buy from hold at CFRA,"Apr. 17, 2020 at 1:42 p.m. ET"
P&G Beat Earnings Forecasts. Why Its Stock Refuses to Budge.,"Apr. 17, 2020 at 8:54 a.m. ET"
P&G reports biggest U.S. sales rise in decades,"Apr. 17, 2020 at 8:10 a.m. ET"
Procter & Gamble stock rises after earnings beat,"Apr. 17, 2020 at 7:24 a.m. ET"
"Procter & Gamble expects to pay more than $7.5 bln in dividends, buy bacvk $7 bln to $8 bln of stock","Apr. 17, 2020 at 7:06 a.m. ET"
Procter & Gamble still sees FY20 core EPS growth of 8% to 11%,"Apr. 17, 2020 at 7:05 a.m. ET"
"Procter & Gamble still sees FY20 EPS growth of 235% to 245%, after Gillette impairment charges","Apr. 17, 2020 at 7:04 a.m. ET"
Procter & Gamble now sees FY20 sales growth of 3% to 4% vs prior 4% to 5%,"Apr. 17, 2020 at 7:04 a.m. ET"
Procter & Gamble Q3 sales $17.214 bln vs. $16.462 bln; FactSet consensus $17.297,"Apr. 17, 2020 at 7:03 a.m. ET"
Procter & Gamble Q3 adj. EPS $1.17; FactSet consensus $1.12,"Apr. 17, 2020 at 7:02 a.m. ET"
Procter & Gamble Q3 EPS $1.12 vs. $1.04,"Apr. 17, 2020 at 7:01 a.m. ET"
Toilet paper maker Procter & Gamble increases dividend,"Apr. 15, 2020 at 12:40 p.m. ET"
"Dow's 550-point surge led by gains for UnitedHealth, Procter & Gamble shares","Apr. 15, 2020 at 10:46 a.m. ET"
"Apple Inc., Johnson & Johnson share gains contribute to Dow's nearly 500-point surge","Apr. 14, 2020 at 3:02 p.m. ET"
"Dow's 550-point surge highlighted by gains for shares of Home Depot, Apple Inc.","Apr. 14, 2020 at 12:57 p.m. ET"
"Home Depot, Johnson & Johnson share gains contribute to Dow's 400-point rally","Apr. 14, 2020 at 11:56 a.m. ET"
