Date,Headline
2020-11-16,"Zoom Video Communications Inc. stock falls Monday, underperforms market"
2020-11-16,"Peloton Stock Has Staying Power, Even After the Pandemic, Analyst Argues"
2020-11-16,"Zoom, Peloton, Netflix stocks among stay-home names declining after upbeat Moderna vaccine announcement"
2020-11-16,Yale University Slashes Investments in Slack and Zoom Stock
2020-11-15,"Largest U.S. Pension Bought Up EV Stocks Nikola and NIO, and Zoom"
2020-11-13,Weekend reads: Stocks for the Biden presidency
2020-11-13,"Zoom Video Communications Inc. stock falls Friday, underperforms market"
2020-11-13,Zoom Video's stock set to suffer biggest-ever weekly drop
2020-11-12,"Zoom Video Communications Inc. stock rises Thursday, outperforms market"
2020-11-12,"Zoom Video is ‘the second coming,’ analyst says"
2020-11-11,The Nasdaq Rose as the Dow Went Flat Because Investors Bought the Tech Dip
2020-11-11,"Wednesday Morning Stock Market Movers: Aurora Cannabis, Tapestry, and Zoom Video"
2020-11-10,The Dow Rose 263 Points Because Investors Are Feeling Confident
2020-11-10,These are the non-pharma winners and losers from the Pfizer vaccine results
2020-11-10,Zoom Video's stock slips 0.1% premarket after tumbling 17.4% on Monday
2020-11-09,Pfizer’s News Ignited the Markets. How to Invest for a Post-Vaccine World.
2020-11-09,"Vaccine News Is Sparking Selloff in Zoom, Peloton and Other Stay-at-Home Stocks"
2020-11-09,"Zoom, Peloton, Etsy lead stay-at-home tech selloff after upbeat Pfizer vaccine announcement"
2020-11-09,Work-From-Home Stocks Are Plunging. How Far Can They Fall?
2020-11-09,Zoom Video shares slide 12% premarket after vaccine news
2020-11-04,These stocks rose the most Wednesday as investors cheered a divided government following the elections
2020-11-02,A Giant Fund Sold Apple and Intel Stock. It Bought NIO and Zoom Video Stock.
2020-10-28,How to Use Options to Play a Decline in Zoom Video’s Stock
2020-10-28,Microsoft Says Users Hit 30 Billion Minutes a Day On Its Cloud-Based Apps
2020-10-27,Zoom Video Communications Inc. stock outperforms market on strong trading day
2020-10-26,"SAP’s Grim Warning Is Weighing on Enterprise Software Stocks, Including IBM"
2020-10-26,These Companies Pay the Most in Stock Compensation
2020-10-22,"Zoom to Start Collecting Communications Taxes in California, New York"
2020-10-22,Align Technology Stock Soars 33% on Blowout Earnings Report
2020-10-22,"Tesla, Align Technology, and the Lessons of Another Covid Earnings Season"
2020-10-21,Slack Stock Slides as Morgan Stanley Turns Bearish on Growing Competitive Risks
2020-10-19,Zoom shares hit record high
2020-10-15,Zoom Phone Is Here. What It Means for the Stock.
2020-10-15,Zoom Video stock jumps to a record after Wall Street gets more bullish
2020-10-15,Zoom Video stock price target raised to $600 from $460 at D.A. Davidson
2020-10-15,Zoom Video stock price target raised to $570 from $475 at BofA Securities
