ID,Date,Source Text,Phrase,Phrase Sentiment,Phrase Mentions Sentiment +/-,Phrase Intensifier,Phrase Negator,Phrase Type
1652,"Apr. 1, 2020 at 2:55 p.m. ET","Boeing, American Express share losses lead Dow's nearly 900-point drop",losses,-0.600000024,negative,,,detected
6579,"Apr. 19, 2018 at 4:27 p.m. ET",Stock market ends with losses as tech and consumer staples skid,losses,-0.600000024,negative,,,detected
6574,"Apr. 20, 2018 at 11:13 a.m. ET","Stocks extend losses, Nasdaq falls 1% as Apple drags",losses,-0.600000024,negative,,,detected
4123,"Apr. 29, 2019 at 11:03 a.m. ET","American Express Stock Is Expensive and Loan Losses Are Mounting, Analyst Says",losses,-0.600000024,negative,,,detected
669,"Aug. 14, 2020 at 3:01 p.m. ET","Apple Inc., Travelers share losses lead the way, but Dow flat",losses,-0.720000029,negative,,,detected
673,"Aug. 14, 2020 at 9:45 a.m. ET","Dow falls nearly 100 points on losses for shares of Apple Inc., Travelers",losses,-0.600000024,negative,,,detected
638,"Aug. 19, 2020 at 4:07 p.m. ET","Dow ends lower to mark longest string of losses in 2 months and S&P 500, Nasdaq retreat after record highs",losses,-0.600000024,negative,,,detected
586,"Aug. 25, 2020 at 10:06 a.m. ET","Raytheon Technologies Corp., Exxon Mobil share losses contribute to Dow's nearly 75-point drop",losses,-0.600000024,negative,,,detected
582,"Aug. 25, 2020 at 11:33 a.m. ET","Dow drops nearly 150 points on losses in Raytheon Technologies Corp., Boeing stocks",losses,-0.720000029,negative,,,detected
3381,"Aug. 7, 2019 at 2:15 p.m. ET",The Dow Has Nearly Erased All Its Losses. Here’s Why.,losses,-0.600000024,negative,,,detected
747,"Aug. 7, 2020 at 1:29 p.m. ET","Microsoft, Apple Inc. share losses contribute to Dow's 34-point fall",losses,-0.600000024,negative,,,detected
749,"Aug. 7, 2020 at 12:08 p.m. ET","Dow's 100-point fall led by losses in shares of Microsoft, Chevron",losses,-0.600000024,negative,,,detected
745,"Aug. 7, 2020 at 2:30 p.m. ET","Apple Inc., Microsoft share losses lead Dow's nearly 125-point drop",losses,-0.600000024,negative,,,detected
744,"Aug. 7, 2020 at 3:33 p.m. ET","Dow down 38 points on losses in shares of Apple Inc., Microsoft",losses,-0.600000024,negative,,,detected
5165,"Dec. 10, 2018 at 6:57 a.m. ET",These stocks suffered the biggest losses of the week,losses,-0.600000024,negative,,,detected
5069,"Dec. 24, 2018 at 7:33 a.m. ET","Apple's stock swings to losses, down 1.0% premarket after being up as much as 2.0% earlier",losses,-0.600000024,negative,,,detected
