Document ID,Status,Source Text,Summary,Detected Language,Detected Language Score,Document Sentiment,Document Sentiment +/-,Date
1,PROCESSED,"Apple Inc. stock falls Monday, underperforms market","Apple Inc. stock falls Monday, underperforms market... ",English,0.60109353,-0.600000024,negative,"Nov. 9, 2020 at 4:30 p.m. ET"
2,PROCESSED,Big Tech Stocks Are Lagging Today. Why They’ll Be Fine in the Long-Run.,Big Tech Stocks Are Lagging Today... Why They’ll Be Fine in the Long-Run... ,English,0.14111824,0,neutral,"Nov. 9, 2020 at 1:45 p.m. ET"
3,PROCESSED,"As Apple releases its new line of Macs, the biggest beneficiary may be Microsoft","As Apple releases its new line of Macs, the biggest beneficiary may be Microsoft... ",English,0.18953677,0.49000001,positive,"Nov. 9, 2020 at 1:18 p.m. ET"
4,PROCESSED,"In the Midst of Election Uncertainty, Younger Traders Embraced the Familiar","In the Midst of Election Uncertainty, Younger Traders Embraced the Familiar... ",English,0.13487001,0.660000026,positive,"Nov. 6, 2020 at 9:21 p.m. ET"
5,PROCESSED,Berkshire Buybacks Hit Record $9 Billion in Third Quarter. Operating Earnings Miss Mark.,Berkshire Buybacks Hit Record $9 Billion in Third Quarter... Operating Earnings Miss Mark... ,English,0.11675198,0,neutral,"Nov. 7, 2020 at 8:49 a.m. ET"
6,PROCESSED,This single-country stock picker has beaten the S&P 500 over the past 10 years. His strategy can help you diversify,This single-country stock picker has beaten the S&P 500 over the past 10 years... His strategy can help you diversify... ,English,0.1996974,0,neutral,"Nov. 3, 2020 at 7:12 a.m. ET"
7,PROCESSED,"Apple Inc. stock falls Friday, underperforms market","Apple Inc. stock falls Friday, underperforms market... ",English,0.60109353,-0.600000024,negative,"Nov. 6, 2020 at 4:30 p.m. ET"
8,PROCESSED,T-Mobile Stock Is at a Record High After Earnings. Here’s What Wall Street Is Saying.,T-Mobile Stock Is at a Record High After Earnings... Here’s What Wall Street Is Saying... ,English,0.13365594,0,neutral,"Nov. 6, 2020 at 2:16 p.m. ET"
9,PROCESSED,"Dow's 25-point fall led by losses in UnitedHealth, Microsoft shares","Dow's 25-point fall led by losses in UnitedHealth, Microsoft shares... ",English,0.11683627,-0.600000024,negative,"Nov. 6, 2020 at 10:53 a.m. ET"
10,PROCESSED,"Dow falls 110 points on losses for Apple Inc., Microsoft shares","Dow falls 110 points on losses for Apple Inc., Microsoft shares... ",English,0.14391291,-0.600000024,negative,"Nov. 6, 2020 at 9:45 a.m. ET"
11,PROCESSED,Apple's stock falls 1.2% premarket to pace the Dow's decliners,Apple's stock falls 1.2% premarket to pace the Dow's decliners... ,English,0.15928483,0,neutral,"Nov. 6, 2020 at 8:34 a.m. ET"
12,PROCESSED,Apple Inc. stock outperforms market on strong trading day,Apple Inc. stock outperforms market on strong trading day... ,English,0.28692198,0.660496473,positive,"Nov. 5, 2020 at 4:30 p.m. ET"
13,PROCESSED,Alibaba Stock Is Falling. It’s Time to Pounce on It.,Alibaba Stock Is Falling... It’s Time to Pounce on It... ,English,0.14522806,0,neutral,"Nov. 5, 2020 at 10:35 a.m. ET"
14,PROCESSED,"Dow rallies 463 points on gains for shares of Caterpillar, Apple Inc.","Dow rallies 463 points on gains for shares of Caterpillar, Apple Inc... ",English,0.1348096,0.600000024,positive,"Nov. 5, 2020 at 9:45 a.m. ET"
15,PROCESSED,Why the Election Means the S&P 500 Can Hit 3800,Why the Election Means the S&P 500 Can Hit 3800... ,English,0.17183535,0,neutral,"Nov. 4, 2020 at 3:04 p.m. ET"
16,PROCESSED,What Reviewers Are Saying About the New Apple iPhone XR,What Reviewers Are Saying About the New Apple iPhone XR... ,English,0.23746824,0,neutral,"Oct. 28, 2018 at 8:00 a.m. ET"
17,PROCESSED,Apple Could Become a Multibillion-Dollar Ad Business. Here’s How,Apple Could Become a Multibillion-Dollar Ad Business... Here’s How... ,English,0.11311671,0,neutral,"Oct. 22, 2018 at 11:30 a.m. ET"
18,PROCESSED,Apple’s Newest iPhones May Do Better in China,Apple’s Newest iPhones May Do Better in China... ,English,0.14432982,0,neutral,"Oct. 8, 2018 at 2:39 p.m. ET"
19,PROCESSED,Never Mind Black Friday; There’s Now an Entire Month of Deals,Never Mind Black Friday; There’s Now an Entire Month of Deals... ,English,0.18356802,0,neutral,"Nov. 20, 2017 at 4:18 p.m. ET"
20,PROCESSED,Apple Event: Is There One More Thing? (Updating Live),Apple Event: Is There One More Thing?... (Updating Live)... ,English,0.2567157,0.449999958,positive,"Sep. 12, 2017 at 12:40 p.m. ET"
21,PROCESSED,Zynga Beat Earnings Expectations. Why Its Stock Is Falling.,Zynga Beat Earnings Expectations... Why Its Stock Is Falling... ,English,0.2241221,0,neutral,"Nov. 4, 2020 at 4:05 p.m. ET"
22,PROCESSED,Qualcomm Stock Is Surging. It Wasn’t Just the Earnings.,Qualcomm Stock Is Surging... It Wasn’t Just the Earnings... ,English,0.16809425,0,neutral,"Nov. 4, 2020 at 5:30 p.m. ET"
23,PROCESSED,Apple could face shortage of critical chips for its new iPhones: report,Apple could face shortage of critical chips for its new iPhones: report... ,English,0.19898821,-0.475500017,negative,"Nov. 4, 2020 at 10:43 p.m. ET"
24,PROCESSED,These stocks rose the most Wednesday as investors cheered a divided government following the elections,These stocks rose the most Wednesday as investors cheered a divided government following the elections... ,English,0.13418768,0.00222224,neutral,"Nov. 4, 2020 at 5:18 p.m. ET"
25,PROCESSED,The Stock Market Doesn’t Seem to Care Who Wins the Election. What Wall Street Is Saying.,The Stock Market Doesn’t Seem to Care Who Wins the Election... What Wall Street Is Saying... ,English,0.19067149,0.441551745,positive,"Nov. 4, 2020 at 1:15 p.m. ET"
26,PROCESSED,Tech Stocks Soar Amid Vote Uncertainty. California Expands Privacy Rights.,Tech Stocks Soar Amid Vote Uncertainty... California Expands Privacy Rights... ,English,0.9999764,0.043111309,neutral,"Nov. 4, 2020 at 12:55 p.m. ET"
27,PROCESSED,Big Tech exhales: No blue wave allays fears of antitrust push,Big Tech exhales: No blue wave allays fears of antitrust push... ,English,0.12044175,-0.49000001,negative,"Nov. 4, 2020 at 12:22 p.m. ET"
28,PROCESSED,Big Tech shares soar as fears of a blue wave stoking antitrust probes subside,Big Tech shares soar as fears of a blue wave stoking antitrust probes subside... ,English,0.10369522,0.129999995,neutral,"Nov. 4, 2020 at 11:25 a.m. ET"
29,PROCESSED,T-Mobile Reports Earnings Tomorrow. Here’s What to Expect.,T-Mobile Reports Earnings Tomorrow... Here’s What to Expect... ,English,0.17455426,0,neutral,"Nov. 4, 2020 at 6:30 a.m. ET"
30,PROCESSED,"Apple Inc. stock rises Tuesday, still underperforms market","Apple Inc. stock rises Tuesday, still underperforms market... ",English,0.70593745,-1.108890057,negative,"Nov. 3, 2020 at 4:30 p.m. ET"
31,PROCESSED,Comcast is in talks with Walmart to develop and distribute smart TVs,Comcast is in talks with Walmart to develop and distribute smart TVs... ,English,0.12123431,0.75,positive,"Nov. 3, 2020 at 2:29 p.m. ET"
32,PROCESSED,Cirrus Logic Stock Rallies Because Earnings Show Its Apple Relationship Is Strong,Cirrus Logic Stock Rallies Because Earnings Show Its Apple Relationship Is Strong... ,English,0.2507867,0,neutral,"Nov. 3, 2020 at 1:27 p.m. ET"
33,PROCESSED,Tech Stocks Are In Trouble No Matter Who Wins the Election. Why Biden Might Be Less Bad.,Tech Stocks Are In Trouble No Matter Who Wins the Election... Why Biden Might Be Less Bad... ,English,0.13886365,-0.024224132,neutral,"Nov. 2, 2020 at 4:50 p.m. ET"
34,PROCESSED,You shouldn’t believe all this talk about a stock-market bubble about to burst — here’s why,You shouldn’t believe all this talk about a stock-market bubble about to burst — here’s why... ,English,0.13396499,0,neutral,"Nov. 3, 2020 at 6:40 a.m. ET"
35,PROCESSED,"Apple stock gains 0.6% premarket, after falling 5.7% over the past 2 days","Apple stock gains 0.6% premarket, after falling 5.7% over the past 2 days... ",English,0.22232307,0,neutral,"Nov. 3, 2020 at 6:19 a.m. ET"
36,PROCESSED,Apple Is Having Another Event Next Week. Here’s What to Expect.,Apple Is Having Another Event Next Week... Here’s What to Expect... ,English,0.18471557,0,neutral,"Nov. 2, 2020 at 3:11 p.m. ET"
37,PROCESSED,"Apple to hold Nov. 10 event, expected to bring new Macs with custom chips","Apple to hold Nov. 10 event, expected to bring new Macs with custom chips... ",English,0.16476907,0,neutral,"Nov. 2, 2020 at 1:15 p.m. ET"
38,PROCESSED,"Apple Music Could Be Worth $20 Billion by Itself, Analyst Says","Apple Music Could Be Worth $20 Billion by Itself, Analyst Says... ",English,0.45219862,0.53836,positive,"Jun. 11, 2019 at 11:04 a.m. ET"
39,PROCESSED,A Giant Fund Sold Apple and Intel Stock. It Bought NIO and Zoom Video Stock.,A Giant Fund Sold Apple and Intel Stock... It Bought NIO and Zoom Video Stock... ,English,0.11609276,0,neutral,"Nov. 2, 2020 at 9:20 a.m. ET"
40,PROCESSED,The Stock Market Could Could Crater If It Falls Below This Level,The Stock Market Could Could Crater If It Falls Below This Level... ,English,0.24521644,0,neutral,"Oct. 30, 2020 at 4:40 p.m. ET"
41,PROCESSED,"Nasdaq Composite Falls 2.4%, and Two More Numbers to Know","Nasdaq Composite Falls 2.4%, and Two More Numbers to Know... ",English,0.16426326,0,neutral,"Nov. 2, 2020 at 4:00 a.m. ET"
42,PROCESSED,‘The Crown’ and ‘The Mandalorian’ return: Here’s what’s worth streaming in November 2020,‘The Crown’ and ‘The Mandalorian’ return: Here’s what’s worth streaming in November 2020... ,English,0.11189987,0,neutral,"Oct. 27, 2020 at 5:16 p.m. ET"
